Synsets,domain_x,norm,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,raw_translation,raw_translation_lemmas,translation_set,number_tranlsation,number_sense,translation_lemmas_set,number_tranlsation_lemmas,number_sense_lemmas
Synset('pearmain.n.01'),fruit,pearmain,1,0,0.0,1.1264294790343077,0.7770890355820319,8,1,1,nb,bland grain grain grain grow grow grow ,beak bird beak beak bird eat feather feather feather fly feather fly,"['bland', 'grain', 'grow']",7,3,"['feather', 'bird', 'beak', 'fly', 'eat']",12,5
Synset('persian_melon.n.02'),fruit,persian_melon,1,0,0.0,1.2515883100381195,1.3004347126066655,13,1,2,nb,animal eat fruit fruit green grow grow juice juice juice red round seed seed seed,appliance eat eat fruit fruit green grow grow juice juice juice red round,"['grow', 'eat', 'green', 'animal', 'fruit', 'round', 'red', 'juice', 'seed']",15,9,"['grow', 'eat', 'green', 'appliance', 'fruit', 'round', 'red', 'juice']",13,8
Synset('pineapple.n.02'),fruit,pineapple,1,0,1.3401360544217686,0.8761118170266836,1.4114474319755272,6,2,2,b,apple eat fruit fruit juice juice juice pulp pulp sour sweet taste ,apple eat fruit fruit juice juice juice pulp pulp sour sweet taste animal eat food green grow nutrition plant tree ,"['sweet', 'sour', 'eat', 'fruit', 'pulp', 'apple', 'taste', 'juice']",12,8,"['grow', 'plant', 'sweet', 'food', 'nutrition', 'sour', 'eat', 'green', 'fruit', 'animal', 'pulp', 'apple', 'taste', 'tree', 'juice']",20,15
Synset('pippin.n.01'),fruit,pippin,1,1,0.0,1.1264294790343077,1.443165351795202,6,1,1,nb,animal beak beak brown beak bird beak feather fly feather fly,animal beak bird beak beak brown beak feather fly feather fly,"['feather', 'bird', 'beak', 'brown', 'fly', 'animal']",11,6,"['feather', 'bird', 'beak', 'brown', 'fly', 'animal']",11,6
Synset('pitahaya.n.02'),fruit,pitahaya,1,0,1.3401360544217686,0.8761118170266836,1.5383191112542265,8,1,2,b,beach beach beach beach sand beach sand sand sand water ,beach beach beach beach sand beach sand sand sand water ,"['water', 'beach', 'sand']",10,3,"['water', 'beach', 'sand']",10,3
Synset('plum.n.02'),fruit,plum,2,5,1.3401360544217686,0.8761118170266836,1.7127676702624377,4,1,5,b,appliance color color color eat food fruit grow grow grow hard hard hard,appliance color color color eat food fruit grow grow grow hard hard hard,"['hard', 'grow', 'color', 'food', 'eat', 'appliance', 'fruit']",13,7,"['hard', 'grow', 'color', 'food', 'eat', 'appliance', 'fruit']",13,7
Synset('pomegranate.n.02'),fruit,pomegranate,1,0,1.3401360544217686,0.8761118170266836,1.3797295121558526,11,1,2,b,eat eat fruit fruit juice juice juice pulp pulp pulp seed seed sweet taste ,eat eat fruit fruit juice juice juice pulp pulp pulp seed seed sweet taste ,"['sweet', 'eat', 'fruit', 'pulp', 'taste', 'juice', 'seed']",14,7,"['sweet', 'eat', 'fruit', 'pulp', 'taste', 'juice', 'seed']",14,7
Synset('pomelo.n.02'),fruit,pomelo,1,0,1.3401360544217686,1.0012706480304956,1.110127193688617,6,2,2,b,animal beak beak bird bird beak feather feather feather fly feather fly,animal beak beak bird bird beak feather feather feather fly feather flyanimal animal eat egg egg egg feather feather fly fly fly large lay leg mammal,"['feather', 'bird', 'beak', 'fly', 'animal']",12,5,"['feather', 'bird', 'beak', 'egg', 'lay', 'fly', 'flyanimal', 'eat', 'mammal', 'animal', 'leg', 'large']",26,12
Synset('prickly_pear.n.02'),fruit,prickly_pear,1,0,1.3401360544217686,0.8761118170266836,1.0942682337787797,12,1,2,b,crunch crisp crisp crisp crunch crunch crunch eat food fruit juice juice juice pulp,crunch crisp crisp crisp crunch crunch crunch eat food fruit juice juice juice pulp,"['food', 'eat', 'fruit', 'pulp', 'crunch', 'juice', 'crisp']",14,7,"['food', 'eat', 'fruit', 'pulp', 'crunch', 'juice', 'crisp']",14,7
Synset('prima.n.01'),fruit,prima,1,0,0.0,1.1264294790343077,0.4916277572049589,5,1,2,nb,first come first come first ,begin new new new ,"['first', 'come']",5,2,"['begin', 'new']",4,2
Synset('pulasan.n.02'),fruit,pulasan,1,0,1.3401360544217686,0.8761118170266836,1.0149734342295926,7,2,2,b,beach banana banana banana cocoon cocoon coral coral coral eat coral eat,beach banana banana banana cocoon cocoon coral coral coral eat coral eatbark bush bush bush tree tree ,"['cocoon', 'banana', 'beach', 'eat', 'coral']",12,5,"['cocoon', 'bush', 'banana', 'beach', 'eat', 'tree', 'coral', 'eatbark']",17,8
Synset('quandong.n.04'),fruit,quandong,1,0,1.3401360544217686,0.8761118170266836,0.7612300756721945,8,4,4,b,answer question question question ,answer question question question answer question question question amount number number number beach beak beak eat fruit grow grow juice juice juice red red,"['answer', 'question']",4,2,"['answer', 'beak', 'grow', 'number', 'beach', 'amount', 'eat', 'fruit', 'question', 'red', 'juice']",24,11
Synset('quince.n.02'),fruit,quince,2,0,1.3401360544217686,0.8761118170266836,0.903960714860731,6,1,2,b,dirt eat fruit green grow juice juice juice red round stem sweet taste ,dirt eat fruit green grow juice juice juice red round stem sweet taste ,"['grow', 'red', 'sweet', 'eat', 'green', 'fruit', 'stem', 'taste', 'round', 'dirt', 'juice']",13,11,"['grow', 'red', 'sweet', 'eat', 'green', 'fruit', 'stem', 'taste', 'round', 'dirt', 'juice']",13,11
Synset('raisin.n.01'),fruit,raisin,1,3,0.0,1.0012706480304956,0.1744485590082112,6,1,1,b,bake bake brown eat eat food good good green grow grow hard hard hard,bake bake brown eat eat food good good green grow grow hard hard hard,"['hard', 'good', 'grow', 'brown', 'food', 'eat', 'green', 'bake']",14,8,"['hard', 'good', 'grow', 'brown', 'food', 'eat', 'green', 'bake']",14,8
Synset('rambutan.n.02'),fruit,rambutan,1,0,1.3401360544217686,0.8761118170266836,1.110127193688617,8,2,2,b,act animal animal animal black black black brown brown brown eat eat eat egg egg,act animal animal animal black black black brown brown brown eat eat eat egg egganimal eat egg egg egg food green grow leg leg leg long leg noodle,"['brown', 'egg', 'act', 'black', 'eat', 'animal']",15,6,"['grow', 'brown', 'egg', 'act', 'egganimal', 'black', 'food', 'long', 'eat', 'green', 'noodle', 'animal', 'leg']",28,13
Synset('red_currant.n.02'),fruit,red_currant,1,0,1.3401360544217686,1.1264294790343077,0.8246659153115441,11,1,2,nb,bitter berry color eat food fruit juice juice juice red red sweet sour,bitter berry color eat food fruit juice juice juice red red sweet sour,"['bitter', 'color', 'sweet', 'food', 'sour', 'eat', 'fruit', 'berry', 'red', 'juice']",13,10,"['bitter', 'color', 'sweet', 'food', 'sour', 'eat', 'fruit', 'berry', 'red', 'juice']",13,10
Synset('red_delicious.n.01'),fruit,red_delicious,1,0,0.0,1.2515883100381195,1.2052809531476414,13,1,1,nb,cheese food good good good taste taste ,cheese food good good good taste taste ,"['taste', 'food', 'cheese', 'good']",7,4,"['taste', 'food', 'cheese', 'good']",7,4
Synset('ribier.n.01'),fruit,ribier,1,0,0.0,1.1264294790343077,0.7136531959426824,6,1,1,nb,alcohol drink drink wine wine ,alcohol drink drink wine wine ,"['alcohol', 'wine', 'drink']",5,3,"['alcohol', 'wine', 'drink']",5,3
Synset('rome_beauty.n.01'),fruit,rome_beauty,1,0,0.0,1.1264294790343077,0.6502173563033328,11,1,1,nb,beauty good look pretty pretty ,beauty beauty person pretty ,"['beauty', 'look', 'good', 'pretty']",5,4,"['beauty', 'person', 'pretty']",4,3
Synset('sapodilla.n.02'),fruit,sapodilla,1,0,1.3401360544217686,0.8761118170266836,1.110127193688617,6,3,2,b,animal eat food food green grow leg leg leg long leg leg meat meat meat,animal eat food food green grow leg leg leg long leg leg meat meat meatdirt eat fruit juice juice juice pulp pulp sour sweet taste animal eat food green grow grow juice juice juice red red round round round small,"['grow', 'food', 'long', 'eat', 'green', 'animal', 'leg', 'meat']",15,8,"['grow', 'sweet', 'food', 'long', 'sour', 'eat', 'green', 'meatdirt', 'animal', 'leg', 'meat', 'fruit', 'pulp', 'small', 'taste', 'round', 'red', 'juice']",40,18
Synset('saskatoon.n.02'),fruit,saskatoon,1,0,1.3401360544217686,1.0012706480304956,0.4440508774754468,9,4,2,nb,askatchewan capital city city city large large person place ,askatchewan capital city city city large large person place bark eat food fruit fruit fruit juice juice juice red sweet sour taste bark black black black eat eat eat food green grow hard hard red redbitter berry eat fruit green grow juice juice juice red red round round,"['capital', 'city', 'askatchewan', 'person', 'place', 'large']",9,6,"['askatchewan', 'berry', 'round', 'juice', 'large', 'capital', 'black', 'food', 'person', 'sour', 'eat', 'fruit', 'hard', 'bark', 'green', 'place', 'red', 'city', 'grow', 'sweet', 'redbitter', 'taste']",48,22
Synset('satsuma.n.02'),fruit,satsuma,1,0,1.3401360544217686,1.1264294790343077,1.0625503139591048,7,1,2,nb,beach drink drink drink eat food green grow grow juice juice juice lime lime,beach drink drink drink eat food green grow grow juice juice juice lime lime,"['grow', 'food', 'beach', 'eat', 'green', 'lime', 'juice', 'drink']",14,8,"['grow', 'food', 'beach', 'eat', 'green', 'lime', 'juice', 'drink']",14,8
Synset('scuppernong.n.01'),fruit,scuppernong,1,0,0.0,1.1264294790343077,0.903960714860731,11,1,1,nb,dance dance dance music song ,dance dance dance music song ,"['music', 'dance', 'song']",5,3,"['music', 'dance', 'song']",5,3
Synset('seckel.n.01'),fruit,seckel,1,0,0.0,1.0012706480304956,0.6026404765738207,6,2,1,nb,bible church church church christ church god god holy man religion religion religion ,bible church church church christ church god god holy man religion religion religion apple eat fruit fruit juice juice juice pulp pulp round round small sweet taste ,"['christ', 'bible', 'god', 'church', 'man', 'religion', 'holy']",13,7,"['christ', 'bible', 'sweet', 'god', 'church', 'eat', 'man', 'religion', 'fruit', 'small', 'holy', 'pulp', 'apple', 'taste', 'round', 'juice']",27,16
Synset('seeded_raisin.n.01'),fruit,seeded_raisin,1,0,0.0,1.1264294790343077,0.5074867171147963,13,1,1,nb,cheese eat food grow grow grow seed seed tree ,cheese eat food grow grow grow seed seed tree ,"['grow', 'cheese', 'food', 'eat', 'tree', 'seed']",9,6,"['grow', 'cheese', 'food', 'eat', 'tree', 'seed']",9,6
Synset('seedless_raisin.n.01'),fruit,seedless_raisin,1,0,0.0,1.1264294790343077,0.3171791981967477,7,2,2,nb,bitter brown brown eat dry eat food ground ground grow ground grow grow grow,bitter brown brown eat dry eat food ground ground grow ground grow grow growbronze california cream cream cream eat food good green grow grow,"['dry', 'bitter', 'ground', 'grow', 'brown', 'food', 'eat']",14,7,"['dry', 'bitter', 'ground', 'grow', 'brown', 'cream', 'california', 'good', 'food', 'eat', 'green', 'growbronze']",24,12
Synset('slipskin_grape.n.01'),fruit,slipskin_grape,1,3,0.0,1.0012706480304956,0.7295121558525197,14,1,1,nb,eat eat fruit green grow juice juice juice red red round round round sour taste,eat eat fruit green grow juice juice juice red red round round round sour taste,"['grow', 'sour', 'eat', 'green', 'fruit', 'taste', 'round', 'red', 'juice']",15,9,"['grow', 'sour', 'eat', 'green', 'fruit', 'taste', 'round', 'red', 'juice']",15,9
Synset('sloe.n.03'),fruit,sloe,1,0,2.6802721088435373,1.0012706480304956,1.0466913540492675,4,1,3,nb,animal eat food green grow slime slime ,animal eat food green grow slime slime ,"['grow', 'food', 'slime', 'eat', 'green', 'animal']",7,6,"['grow', 'food', 'slime', 'eat', 'green', 'animal']",7,6
Synset('sour_cherry.n.03'),fruit,sour_cherry,1,2,0.0,1.0012706480304956,0.6502173563033328,11,1,3,nb,cheese eat fruit juice juice juice sweet sour sweet ,cheese eat fruit juice juice juice sweet sour sweet ,"['cheese', 'sweet', 'sour', 'eat', 'fruit', 'juice']",9,6,"['cheese', 'sweet', 'sour', 'eat', 'fruit', 'juice']",9,6
Synset('sour_gourd.n.02'),fruit,sour_gourd,1,0,1.3401360544217686,0.8761118170266836,0.6502173563033328,10,2,3,b,cheese eat food green grow juice juice sour sour taste ,cheese eat food green grow juice juice sour sour taste animal eat bread eat eat food leg leg leg mammal meat meat meat snack small,"['grow', 'cheese', 'food', 'sour', 'eat', 'green', 'taste', 'juice']",10,8,"['grow', 'cheese', 'food', 'sour', 'eat', 'green', 'bread', 'animal', 'leg', 'mammal', 'meat', 'snack', 'small', 'taste', 'juice']",25,15
Synset('stayman_winesap.n.01'),fruit,stayman_winesap,1,0,0.0,1.1264294790343077,0.983255514409918,15,1,1,nb,alcohol drink drink wine ,alcohol drink wine wine wine ,"['alcohol', 'wine', 'drink']",4,3,"['alcohol', 'wine', 'drink']",5,3
Synset('stayman.n.01'),fruit,stayman,1,0,0.0,1.1264294790343077,0.697794236032845,7,1,1,nb,act animal animal animal cabin cabin cabin dog house house person place stay stay ,act animal animal beak bird bird bird beak beak fly bird bird,"['house', 'act', 'stay', 'person', 'animal', 'place', 'cabin', 'dog']",14,8,"['bird', 'beak', 'act', 'fly', 'animal']",12,5
Synset('sugarberry.n.02'),fruit,sugarberry,1,0,0.0,1.0012706480304956,1.2528578328771536,9,2,2,nb,beverage drink drink fruit fruit juice juice juice sweet ,beverage drink drink fruit fruit juice juice juice sweet bark black black eat eat fruit fruit juice juice juice grow juice juice red,"['beverage', 'sweet', 'fruit', 'juice', 'drink']",9,5,"['beverage', 'grow', 'sweet', 'black', 'bark', 'eat', 'fruit', 'red', 'juice', 'drink']",23,10
Synset('sultana.n.01'),fruit,sultana,1,0,0.0,1.1264294790343077,0.8246659153115441,7,1,2,nb,bronze california cream cream cream eat food good green grow grow,bronze california cream cream cream eat food good green grow grow,"['good', 'grow', 'cream', 'california', 'food', 'eat', 'green', 'bronze']",11,8,"['good', 'grow', 'cream', 'california', 'food', 'eat', 'green', 'bronze']",11,8
Synset('sweet_calabash.n.02'),fruit,sweet_calabash,1,0,1.3401360544217686,1.0012706480304956,0.697794236032845,14,1,2,nb,animal california cow eat food good green grow leg mammal pet sweet taste,animal california cow eat food good green grow leg mammal pet sweet taste,"['pet', 'good', 'grow', 'california', 'sweet', 'food', 'cow', 'eat', 'green', 'mammal', 'animal', 'leg', 'taste']",13,13,"['pet', 'good', 'grow', 'california', 'sweet', 'food', 'cow', 'eat', 'green', 'mammal', 'animal', 'leg', 'taste']",13,13
Synset('sweet_cherry.n.02'),fruit,sweet_cherry,1,3,1.3401360544217686,1.0012706480304956,1.110127193688617,12,2,2,nb,cheese eat fruit fruit juice juice sweet taste ,cheese eat fruit fruit juice juice sweet taste cheese eat fruit fruit juice juice juice red sweet ,"['cheese', 'sweet', 'eat', 'fruit', 'taste', 'juice']",8,6,"['cheese', 'sweet', 'eat', 'fruit', 'taste', 'red', 'juice']",17,7
Synset('sweet_orange.n.01'),fruit,sweet_orange,1,3,1.3401360544217686,1.1264294790343077,0.8088069554017067,12,1,2,nb,beverage drink drink fruit juice juice juice orange juice sweet ,beverage drink drink fruit juice juice juice orange juice sweet ,"['beverage', 'orange', 'sweet', 'fruit', 'juice', 'drink']",10,6,"['beverage', 'orange', 'sweet', 'fruit', 'juice', 'drink']",10,6
Synset('tamarind.n.02'),fruit,tamarind,1,0,1.3401360544217686,0.8761118170266836,2.077523748188697,8,2,2,b,beverage drink drink citrus fruit juice juice juice green grow juice lime lime,beverage drink drink citrus fruit juice juice juice green grow juice lime limebeverage drink drink juice juice juice green grow juice lime lime juice red,"['beverage', 'grow', 'green', 'fruit', 'lime', 'citrus', 'juice', 'drink']",13,8,"['beverage', 'grow', 'green', 'fruit', 'limebeverage', 'lime', 'red', 'citrus', 'juice', 'drink']",25,10
Synset('tangerine.n.02'),fruit,tangerine,1,0,1.3401360544217686,1.1264294790343077,1.316293672516503,9,1,4,nb,anger eat fruit fruit juice juice juice pulp pulp pulp sour sweet taste ,anger eat fruit fruit juice juice juice pulp pulp pulp sour sweet taste ,"['anger', 'sweet', 'sour', 'eat', 'fruit', 'pulp', 'taste', 'juice']",13,8,"['anger', 'sweet', 'sour', 'eat', 'fruit', 'pulp', 'taste', 'juice']",13,8
Synset('temple_orange.n.02'),fruit,temple_orange,1,0,1.3401360544217686,1.1264294790343077,0.9673965545000806,13,1,2,nb,bible christ christ christ church church god holy temple temple ,bible christ christ christ church church god holy temple temple ,"['christ', 'bible', 'god', 'temple', 'church', 'holy']",10,6,"['christ', 'bible', 'god', 'temple', 'church', 'holy']",10,6
Synset('thompson_seedless.n.01'),fruit,thompson_seedless,1,0,0.0,1.1264294790343077,0.6343583963934954,17,1,1,nb,blanket black cloth color dirt dirt dirt eat grass grow plant seed seed ,blanket plant plant seed seed ,"['grow', 'plant', 'color', 'blanket', 'black', 'eat', 'grass', 'cloth', 'dirt', 'seed']",13,10,"['blanket', 'plant', 'seed']",5,3
Synset('tokay.n.02'),fruit,tokay,1,1,1.3401360544217686,1.1264294790343077,1.316293672516503,5,1,2,nb,good good good fine fine good good good ,city city large large person place place ,"['good', 'fine']",8,2,"['person', 'city', 'large', 'place']",7,4
Synset('valencia_orange.n.01'),fruit,valencia_orange,1,0,0.0,1.2515883100381195,1.141845113508292,15,1,1,nb,bronze color orange fruit orange orange orange peel red red ,beverage drink drink fruit juice juice orange orange orange juice orange juice red,"['peel', 'orange', 'color', 'fruit', 'red', 'bronze']",10,6,"['beverage', 'orange', 'fruit', 'red', 'juice', 'drink']",13,6
Synset('victoria_plum.n.01'),fruit,victoria_plum,1,0,0.0,1.0012706480304956,0.5392046369344711,13,1,1,nb,bathroom bath bath bathtub bath bath color bath bath dine dine,beauty color eat food fruit fruit good green grow grow red red red skin,"['color', 'bathtub', 'bathroom', 'bath', 'dine']",11,5,"['good', 'grow', 'color', 'food', 'skin', 'eat', 'beauty', 'green', 'fruit', 'red']",14,10
Synset('vinifera_grape.n.02'),fruit,vinifera_grape,1,7,1.3401360544217686,1.0012706480304956,1.0466913540492675,14,1,2,nb,animal eat fruit garden grow grow juice juice juice red red red round round round,animal eat fruit garden grow grow juice juice juice red red red round round round,"['grow', 'eat', 'animal', 'garden', 'fruit', 'round', 'red', 'juice']",15,8,"['grow', 'eat', 'animal', 'garden', 'fruit', 'round', 'red', 'juice']",15,8
Synset('windfall.n.01'),fruit,windfall,1,0,0.0,0.8761118170266836,0.5550635968443085,8,1,2,nb,amount money money money pay ,amount money money money pay ,"['money', 'pay', 'amount']",5,3,"['money', 'pay', 'amount']",5,3
Synset('winesap.n.01'),fruit,winesap,1,0,0.0,1.1264294790343077,0.4757687972951215,7,1,1,nb,alcohol drink wine wine ,alcohol drink wine wine wine ,"['alcohol', 'wine', 'drink']",4,3,"['alcohol', 'wine', 'drink']",5,3
Synset('winter_melon.n.02'),fruit,winter_melon,1,3,1.3401360544217686,1.1264294790343077,1.5383191112542265,12,1,2,nb,cold cold fruit fruit grow grow grow summer summer season sweet taste ,cold cold fruit fruit grow grow grow summer summer season sweet taste ,"['summer', 'grow', 'sweet', 'season', 'fruit', 'taste', 'cold']",12,7,"['summer', 'grow', 'sweet', 'season', 'fruit', 'taste', 'cold']",12,7
Synset('wintergreen.n.03'),fruit,wintergreen,1,0,1.3401360544217686,1.0012706480304956,0.8246659153115441,8,5,3,nb,blue color fall color green light light winter ,blue color fall color green light light winter box fruit fruit fruit juice juice juice pulp pulp sweet sour sweet cheese eat food fruit fruit fruit good good green grow good grow hard hardbitter berry eat fruit fruit juice juice juice red round round small sweetbeverage spice spice spice ,"['winter', 'light', 'blue', 'color', 'fall', 'green']",8,6,"['hardbitter', 'cheese', 'small', 'berry', 'round', 'juice', 'winter', 'food', 'sour', 'fall', 'eat', 'fruit', 'box', 'spice', 'hard', 'color', 'sweetbeverage', 'green', 'pulp', 'red', 'good', 'grow', 'light', 'blue', 'sweet']",49,25
Synset('accordion.n.01'),music,accordion,2,0,3.9047619047619047,0.8929219600725952,1.54406544219787,9,3,1,b,music instrument music play string string string wood ,music instrument music play string string string wood music instrument music play string string string wood act animal animal animal body body body breath body body blow body breath breath breath,"['music', 'instrument', 'wood', 'play', 'string']",8,5,"['music', 'blow', 'act', 'instrument', 'wood', 'play', 'animal', 'body', 'breath', 'string']",31,10
Synset('acoustic_guitar.n.01'),music,acoustic_guitar,1,0,0.0,0.9921355111917723,0.5315635128877914,15,1,1,nb,acoustic guitar instrument music play sound ,acoustic guitar instrument music play sound ,"['music', 'sound', 'instrument', 'acoustic', 'play', 'guitar']",6,6,"['music', 'sound', 'instrument', 'acoustic', 'play', 'guitar']",6,6
Synset('aeolian_harp.n.01'),music,aeolian_harp,1,0,0.0,1.0913490623109496,0.9618768328445748,9,3,1,nb,arm band band instrument music play string string wood ,arm band band instrument music play string string wood bible christ christ christ god god jesus myth person religion air blow blow instrument instrument music play wind ,"['music', 'arm', 'band', 'instrument', 'wood', 'play', 'string']",9,7,"['music', 'christ', 'myth', 'arm', 'bible', 'band', 'jesus', 'blow', 'air', 'god', 'instrument', 'wood', 'person', 'play', 'religion', 'wind', 'string']",27,17
Synset('amati.n.02'),music,amati,1,0,0.0,1.0913490623109496,0.6960950764006791,5,1,2,nb,bake bread bread bread eat grain food good good green grow grow grow nutrition,act animal animal animal eat eat food fly fly fly leg leg leg mammal mammal,"['good', 'grow', 'food', 'nutrition', 'eat', 'bread', 'grain', 'green', 'bake']",14,9,"['act', 'food', 'fly', 'eat', 'mammal', 'animal', 'leg']",15,7
Synset('b-flat_clarinet.n.01'),music,b-flat_clarinet,1,0,0.0,1.2897761645493042,0.5189072387714153,14,2,1,nb,air band brass brass brass instrument brass instrument music string string wood ,air band brass brass brass instrument brass instrument music string string wood biscuit candy candy candy eat food stick taste ,"['music', 'band', 'air', 'instrument', 'brass', 'wood', 'string']",12,7,"['music', 'band', 'air', 'instrument', 'brass', 'wood', 'candy', 'eat', 'food', 'taste', 'stick', 'biscuit', 'string']",20,13
Synset('baby_grand.n.01'),music,baby_grand,1,0,0.0,1.0913490623109496,0.2404692082111436,10,6,1,nb,baby baby baby grand grand money money ,baby baby baby grand grand money money baby grand piano music play beauty decorate decorate grand grand house large room cheap decorate decorate grand piano music play place play wood beauty decorate decorate grand house large room cheap decorate decorate music music play place play wood ,"['money', 'grand', 'baby']",7,3,"['money', 'music', 'piano', 'house', 'room', 'wood', 'play', 'beauty', 'decorate', 'cheap', 'place', 'grand', 'large', 'baby']",46,14
Synset('bagpipe.n.01'),music,bagpipe,1,1,7.809523809523809,0.9921355111917723,1.2150023151720943,7,1,1,b,airplane air brass brass instrument brass instrument metal pipe string string wood ,airplane air brass brass instrument brass instrument metal pipe string string wood ,"['pipe', 'metal', 'air', 'airplane', 'instrument', 'brass', 'wood', 'string']",12,8,"['pipe', 'metal', 'air', 'airplane', 'instrument', 'brass', 'wood', 'string']",12,8
Synset('balalaika.n.01'),music,balalaika,1,0,0.0,0.9921355111917723,0.8353140916808149,9,1,1,b,ballet dance dance music play ,ballet dance dance music play ,"['ballet', 'dance', 'music', 'play']",5,4,"['ballet', 'dance', 'music', 'play']",5,4
Synset('bandoneon.n.01'),music,bandoneon,1,0,0.0,1.0913490623109496,0.5695323352369193,9,1,1,nb,cloth cloth cover cloth cover dress material material ,cloth cloth cover cloth cover dress material material ,"['cloth', 'dress', 'cover', 'material']",8,4,"['cloth', 'dress', 'cover', 'material']",8,4
Synset('banjo.n.01'),music,banjo,1,0,3.9047619047619047,0.8929219600725952,0.9998456551937028,5,1,1,b,black banjo banjo string string wood ,black banjo banjo string string wood ,"['black', 'string', 'wood', 'banjo']",6,4,"['black', 'string', 'wood', 'banjo']",6,4
Synset('baritone.n.03'),music,baritone,1,0,0.0,0.9921355111917723,0.4935946905386633,8,2,4,b,animal baritone baritone voice high pitch high pitch voice ,animal baritone baritone voice high pitch high pitch voice animal baritone baritone voice high pitch high pitch sound ,"['animal', 'high', 'baritone', 'pitch', 'voice']",9,5,"['sound', 'animal', 'high', 'baritone', 'pitch', 'voice']",18,6
Synset('bass_clarinet.n.01'),music,bass_clarinet,1,0,0.0,1.2897761645493042,0.8479703657971909,13,1,1,nb,bass brass brass brass instrument brass instrument instrument metal metal piece string string wood ,bass brass brass brass instrument brass instrument instrument metal metal piece string string wood ,"['piece', 'metal', 'instrument', 'brass', 'wood', 'bass', 'string']",14,7,"['piece', 'metal', 'instrument', 'brass', 'wood', 'bass', 'string']",14,7
Synset('bass_drum.n.01'),music,bass_drum,1,0,0.0,0.9921355111917723,0.9492205587281988,9,2,1,nb,bass brass brass brass instrument brass instrument metal loud metal play sound wood ,bass brass brass brass instrument brass instrument metal loud metal play sound wood bark eat food garden green grow grow grow plant tree ,"['sound', 'metal', 'instrument', 'brass', 'wood', 'play', 'bass', 'loud']",13,8,"['sound', 'metal', 'grow', 'plant', 'instrument', 'brass', 'wood', 'play', 'bark', 'eat', 'food', 'green', 'garden', 'bass', 'tree', 'loud']",23,16
Synset('bass_horn.n.01'),music,bass_horn,2,2,0.0,0.8929219600725952,0.4050007717240315,4,3,1,b,bass blow blow blow instrument instrument instrument metal loud music sound ,bass blow blow blow instrument instrument instrument metal loud music sound cook cook cook electric electric electric food gas gas gas human instrument loud metal metalband brass brass brass instrument brass instrument instrument music instrument play string string wood ,"['music', 'blow', 'sound', 'metal', 'instrument', 'bass', 'loud']",11,7,"['music', 'blow', 'cook', 'sound', 'metal', 'electric', 'instrument', 'food', 'brass', 'play', 'wood', 'metalband', 'bass', 'gas', 'human', 'string', 'loud']",39,17
Synset('bass.n.07'),music,bass,1,6,0.0,0.793708408953418,0.8479703657971909,4,1,9,nb,bass bass instrument instrument metal loud metal music sound sound ,bass bass instrument instrument metal loud metal music sound sound ,"['music', 'sound', 'metal', 'instrument', 'bass', 'loud']",10,6,"['music', 'sound', 'metal', 'instrument', 'bass', 'loud']",10,6
Synset('basset_horn.n.01'),music,basset_horn,1,0,0.0,1.2897761645493042,0.8479703657971909,11,1,1,nb,bass instrument brass brass brass instrument brass instrument wood ,bass instrument brass brass brass instrument brass instrument wood ,"['wood', 'instrument', 'brass', 'bass']",9,4,"['wood', 'instrument', 'brass', 'bass']",9,4
Synset('beating-reed_instrument.n.01'),music,beating-reed_instrument,1,21,0.0,0.9921355111917723,0.772032721098935,4,3,5,nb,music instrument music play sound ,music instrument music play sound music instrument instrument play string string wood bargain cloth cloth cloth color cloth expense money plastic store store ,"['music', 'instrument', 'sound', 'play']",5,4,"['music', 'bargain', 'money', 'sound', 'color', 'store', 'instrument', 'wood', 'play', 'plastic', 'cloth', 'string', 'expense']",23,13
Synset('bones.n.01'),music,bones,1,0,0.0,0.8929219600725952,2.5692236456243247,5,4,6,b,bone bone bone bone part ,bone bone bone bone part castle china china decorate china jewel jewel metal round roundact air air air animal animal animal annoy annoy bang bang bang blow blow blowbark bang bang bang brass brass brass instrument brass instrument metal metal ring ring,"['part', 'bone']",5,2,"['blow', 'ring', 'castle', 'metal', 'annoy', 'bang', 'air', 'instrument', 'brass', 'decorate', 'animal', 'blowbark', 'roundact', 'round', 'part', 'china', 'jewel', 'bone']",42,18
Synset('bongo.n.01'),music,bongo,1,0,0.0,0.9921355111917723,0.4429695940731594,5,2,2,nb,bongo band brass instrument brass instrument music play ,bongo band brass instrument brass instrument music play band brass brass brass instrument brass instrument music instrument play sound wood ,"['music', 'band', 'instrument', 'brass', 'play', 'bongo']",8,6,"['music', 'sound', 'band', 'instrument', 'brass', 'wood', 'play', 'bongo']",20,8
Synset('bowed_stringed_instrument.n.01'),music,bowed_stringed_instrument,1,11,3.9047619047619047,0.8929219600725952,0.5948448834696712,6,2,17,nb,band instrument instrument music play string string wood ,band instrument instrument music play string string wood bend string string string tie ,"['music', 'band', 'instrument', 'wood', 'play', 'string']",8,6,"['music', 'tie', 'band', 'instrument', 'wood', 'play', 'bend', 'string']",13,8
